Age,Annual_Income,Spending_Score,Marital_Status,Profession,Segment
31,41447,42,Married,Artist,0
23,49538,38,Married,Engineer,0
47,66087,47,Single,Artist,0
40,95524,66,Single,Engineer,1
39,99282,84,Single,Teacher,1
49,139201,67,Married,Lawyer,1
49,112049,76,Married,Doctor,1
19,138243,91,Married,Business,1
32,137854,78,Single,Teacher,1
49,53209,21,Married,Doctor,0
57,30693,53,Married,Teacher,0
55,35434,44,Single,Artist,0
21,126959,79,Single,Business,1
34,78929,55,Married,Business,0
49,117744,90,Single,Engineer,1
18,81645,89,Single,Doctor,1
42,126514,69,Single,Doctor,1
63,45634,24,Single,Artist,0
50,143731,71,Single,Teacher,1
24,33654,56,Single,Teacher,0
51,127882,71,Single,Doctor,1
52,57755,27,Married,Lawyer,0
24,69334,32,Married,Artist,0
25,70583,11,Single,Engineer,0
59,100618,72,Single,Doctor,1
49,23267,9,Single,Business,0
56,99963,75,Married,Teacher,1
56,133330,100,Married,Engineer,1
22,99087,69,Single,Doctor,1
54,109287,96,Married,Teacher,1
43,119954,62,Single,Business,1
48,50600,2,Single,Artist,0
25,35036,52,Married,Business,0
55,74698,24,Single,Doctor,0
27,114560,86,Married,Lawyer,1
61,114620,70,Married,Lawyer,1
43,26816,51,Married,Doctor,0
50,121427,84,Married,Artist,1
49,78067,22,Married,Lawyer,0
42,92015,78,Married,Lawyer,1
21,85486,94,Married,Doctor,1
33,139494,72,Married,Doctor,1
22,99096,91,Single,Teacher,1
50,68280,14,Married,Teacher,0
24,115909,93,Married,Teacher,1
44,40980,37,Single,Artist,0
53,83797,92,Single,Engineer,1
54,116395,84,Married,Engineer,1
61,64199,46,Single,Business,0
39,56576,41,Married,Business,0
35,59112,59,Single,Teacher,0
40,69416,38,Married,Artist,0
25,44264,12,Single,Business,0
54,65734,13,Married,Teacher,0
34,112307,70,Married,Engineer,1
38,101352,89,Married,Business,1
48,64014,8,Single,Doctor,0
19,125106,85,Single,Artist,1
38,43567,8,Married,Artist,0
32,149449,71,Single,Lawyer,1
43,26588,13,Married,Doctor,0
38,86371,99,Married,Lawyer,1
53,26581,49,Married,Teacher,0
64,50483,13,Single,Teacher,0
56,73909,39,Single,Engineer,0
21,117131,84,Single,Artist,1
25,75451,6,Married,Lawyer,0
58,47997,17,Single,Business,0
44,60718,17,Single,Business,0
34,83812,89,Single,Doctor,1
49,42207,8,Single,Engineer,0
33,130343,92,Single,Teacher,1
64,70139,9,Single,Engineer,0
19,127280,88,Married,Engineer,1
60,53623,22,Single,Doctor,0
25,141629,98,Married,Doctor,1
62,46955,26,Single,Lawyer,0
45,138656,94,Married,Doctor,1
35,130428,92,Single,Artist,1
39,24033,58,Single,Lawyer,0
56,80384,94,Married,Business,1
31,37862,9,Single,Teacher,0
47,22044,21,Married,Lawyer,0
57,66443,59,Single,Artist,0
55,45817,15,Single,Business,0
20,68454,19,Single,Business,0
35,69678,30,Married,Doctor,0
41,130612,77,Single,Doctor,1
42,48797,18,Single,Doctor,0
24,116258,97,Single,Doctor,1
40,146656,91,Single,Doctor,1
27,72142,36,Married,Business,0
50,119764,85,Single,Business,1
52,131934,63,Single,Lawyer,1
42,26450,60,Married,Doctor,0
55,41174,32,Single,Engineer,0
56,87114,86,Single,Lawyer,1
24,29101,44,Single,Teacher,0
56,49033,17,Single,Artist,0
34,139379,62,Married,Artist,1
38,76307,38,Single,Artist,0
23,136138,65,Single,Engineer,1
61,89184,65,Married,Lawyer,1
36,39900,12,Single,Business,0
58,84809,69,Single,Teacher,1
37,62533,37,Single,Business,0
20,69575,12,Married,Lawyer,0
39,147584,69,Married,Teacher,1
52,105150,82,Married,Lawyer,1
30,134917,73,Single,Lawyer,1
47,107285,86,Married,Engineer,1
63,43952,34,Married,Business,0
30,31739,56,Married,Engineer,0
42,28767,44,Married,Business,0
35,24492,36,Married,Engineer,0
35,24648,25,Married,Artist,0
40,24249,21,Married,Teacher,0
53,103714,83,Married,Lawyer,1
53,69437,51,Married,Doctor,0
60,66628,19,Single,Lawyer,0
50,115735,80,Single,Engineer,1
43,146203,71,Single,Lawyer,1
52,81342,65,Single,Artist,1
63,47840,56,Single,Business,0
21,114016,70,Married,Lawyer,1
50,28472,47,Single,Artist,0
57,65096,42,Married,Engineer,0
19,133932,99,Single,Business,1
37,80235,65,Married,Doctor,1
34,31190,38,Single,Business,0
35,135123,67,Single,Engineer,1
45,45556,42,Single,Engineer,0
61,81015,88,Married,Doctor,1
22,61945,42,Married,Teacher,0
42,48795,51,Single,Engineer,0
56,51259,36,Married,Engineer,0
61,89860,95,Single,Teacher,1
53,25463,53,Single,Artist,0
28,124482,78,Single,Engineer,1
23,25482,53,Single,Doctor,0
63,130448,75,Single,Business,1
56,92161,78,Married,Doctor,1
46,100103,82,Single,Engineer,1
37,135658,90,Single,Teacher,1
37,76044,13,Single,Doctor,0
50,92910,71,Single,Doctor,1
54,108732,63,Single,Business,1
51,91174,63,Married,Artist,1
39,91338,93,Single,Lawyer,1
25,102574,93,Married,Lawyer,1
38,23321,12,Single,Doctor,0
64,35282,20,Single,Lawyer,0
19,88717,89,Married,Doctor,1
52,44364,10,Single,Lawyer,0
55,127915,84,Married,Business,1
32,42054,10,Single,Doctor,0
49,122318,86,Married,Engineer,1
54,131356,77,Married,Lawyer,1
30,32576,48,Married,Teacher,0
34,114816,100,Single,Engineer,1
53,86941,92,Single,Teacher,1
26,55426,20,Married,Lawyer,0
62,120262,67,Married,Business,1
60,57437,43,Single,Artist,0
